consumer_id,product_id,Q_selected,Q_selected_std,incumbent,focal_brand,category,z,expression_intensity,Y_prob,Y
0,charger_samsung_45w,0.7154,1.6517985875929155,1,0,phone_charger,0,1.4516283124274179,0.7102471467037496,1
1,charger_anker_nano_67w,0.6909,1.444420133691994,1,1,phone_charger,0,1.4166417749587008,0.6779621660194817,1
2,charger_anker_nano_67w,0.4911,-0.24677231893674095,1,1,phone_charger,0,-0.1962496952593365,0.3182142496885083,1
3,charger_anker_prime_100w,0.6805,1.3563900961177258,1,1,phone_charger,0,1.5563957718117096,0.6705673519844407,1
4,charger_anker_prime_100w,0.5885,0.5776628406530432,1,1,phone_charger,0,0.8750542047554235,0.5073431793357297,0
5,charger_belkin_25w,0.5465,0.22215691968003545,1,0,phone_charger,0,1.3914288189397124,0.4709815486710101,1
6,charger_anker_nano_67w,0.7901,2.2840912613234785,1,1,phone_charger,0,3.4773927054552187,0.8512377944776579,1
7,charger_anker_nano_67w,0.704,1.555304123328813,1,1,phone_charger,0,1.4805177567034233,0.6973723760446456,1
8,charger_anker_nano_67w,0.8256,2.584578408812568,1,1,phone_charger,0,2.92871897233788,0.863532928630786,0
9,charger_anker_nano_67w,0.6638,1.2150341703975056,1,1,phone_charger,0,1.177918985229556,0.6309065097186887,0
10,charger_anker_prime_100w,0.6005,0.6792359609310453,1,1,phone_charger,0,0.9224015723325807,0.5274587172461824,0
11,charger_anker_prime_100w,0.6375,0.9924197484548845,1,1,phone_charger,0,1.9217820448190253,0.6292615666372213,0
12,charger_ugreen_100w,0.7259,1.7406750678361669,0,0,phone_charger,0,2.7888415451260498,0.8013203519419357,1
13,charger_apple_35w_duo,0.6161,0.8112810172924476,1,0,phone_charger,0,0.6082694908206987,0.5348311446807996,0
14,charger_ugreen_100w,0.5996,0.6716179769101951,0,0,phone_charger,0,0.4279572925514003,0.45510068264956466,0
15,charger_anker_nano_67w,0.747,1.919274470991654,1,1,phone_charger,0,2.443116980417964,0.7828096705322788,1
16,charger_apple_35w_duo,0.5015,-0.15874228136247276,1,0,phone_charger,0,-0.30886320071581846,0.32675641083874934,0
17,charger_baseus_65w,0.534,0.11635158605711697,0,0,phone_charger,0,-0.15893899252622606,0.3155750347553506,1
18,charger_ugreen_100w,0.6643,1.219266383742423,0,0,phone_charger,0,1.724098083730971,0.6585683495924407,1
19,charger_anker_nano_67w,0.632,0.9458654016608007,1,1,phone_charger,0,0.848799533636925,0.5700035627084444,1
20,charger_anker_nano_67w,0.6835,1.3817833761872262,1,1,phone_charger,0,0.7967768003119974,0.6402855492930019,1
21,charger_anker_nano_67w,0.777,2.1732072716866595,1,1,phone_charger,0,2.2229334621742973,0.8046841396619028,1
22,charger_apple_35w_duo,0.6234,0.8730713321282321,1,0,phone_charger,0,0.8232156939707873,0.5562096613530978,1
23,charger_belkin_25w,0.5904,0.5937452513637269,1,0,phone_charger,0,0.5295720104064775,0.49288449991428485,1
24,charger_anker_nano_67w,0.6092,0.7528764731325963,1,1,phone_charger,0,1.197586947540159,0.5539222131693778,0
25,charger_anker_nano_67w,0.8299,2.620975443578852,1,1,phone_charger,0,2.066347027087942,0.8452670932629403,1
26,charger_anker_nano_67w,0.6371,0.9890339777789515,1,1,phone_charger,0,1.9913455494962014,0.6319503292895103,0
27,charger_anker_nano_67w,0.6075,0.73848694775988,1,1,phone_charger,0,1.1117196820736663,0.5471804161212913,0
28,charger_anker_nano_67w,0.6281,0.9128541375704499,1,1,phone_charger,0,1.0594682306899172,0.5746604472924919,1
29,charger_anker_prime_100w,0.64,1.0135808151794687,1,1,phone_charger,0,0.7658633081189125,0.5775390962556952,1
30,charger_samsung_45w,0.6897,1.434262821664194,1,0,phone_charger,0,0.5344701972915014,0.6366556715737666,1
31,charger_anker_nano_67w,0.6114,0.7714982118502307,1,1,phone_charger,0,0.7103935790847054,0.5329838948303041,1
32,charger_anker_nano_67w,0.7755,2.160510631651909,1,1,phone_charger,0,2.452768885495545,0.810446069159689,1
33,charger_anker_prime_100w,0.5299,0.08164743662879966,1,1,phone_charger,0,0.4647801371356771,0.4013385845886466,0
34,charger_samsung_45w,0.6452,1.057595833966603,1,0,phone_charger,0,0.7538095309552568,0.5844525986662183,0
35,charger_anker_nano_67w,0.7064,1.5756187473844139,1,1,phone_charger,0,2.122055634693384,0.7265809397998942,1
36,charger_anker_nano_67w,0.7451,1.9031920602809702,1,1,phone_charger,0,1.893833250088169,0.761514570924058,1
37,charger_baseus_65w,0.5837,0.5370335925418421,0,0,phone_charger,0,0.1977286248934405,0.41220160373107534,0
38,charger_belkin_25w,0.8129,2.477080189851682,1,0,phone_charger,0,3.1127044998360534,0.8589379758251264,1
39,charger_samsung_45w,0.6889,1.427491280312327,1,0,phone_charger,0,1.3234395410550417,0.6712693620595541,0
40,charger_apple_35w_duo,0.566,0.38721324013178854,1,0,phone_charger,0,0.7159494008312486,0.46611182052760014,0
41,charger_anker_nano_67w,0.7775,2.177439485031576,1,1,phone_charger,0,1.3712891399881832,0.7770341132261441,1
42,charger_anker_nano_67w,0.5993,0.6690786489032453,1,1,phone_charger,0,-0.2440961882527135,0.4674301384170391,0
43,charger_anker_nano_67w,0.6675,1.24635254914989,1,1,phone_charger,0,0.9474739126657159,0.6252615126746555,1
44,charger_anker_prime_100w,0.532,0.09942273267744994,1,1,phone_charger,0,-0.1396957601487963,0.37558198918433494,0
45,charger_samsung_45w,0.6087,0.74864425978768,1,0,phone_charger,0,0.3761023350148073,0.5123153708372055,0
46,charger_samsung_45w,0.6379,0.9958055191308185,1,0,phone_charger,0,1.9572282141603836,0.6314656228271441,0
