consumer_id,product_id,Q_selected,Q_selected_std,incumbent,focal_brand,category,q,r,expression_intensity,Y_prob,Y
0,charger_samsung_45w,0.7154,1.6517985875929155,1,0,phone_charger,0,0,2.1775804611278318,0.7971234950452089,1
1,charger_anker_nano_67w,0.6909,1.444420133691994,1,1,phone_charger,0,0,1.7864382837820152,0.7476933069304813,1
2,charger_anker_nano_67w,0.4911,-0.24677231893674095,1,1,phone_charger,0,0,0.20663083038791852,0.3428949352424574,0
3,charger_anker_prime_100w,0.6805,1.3563900961177258,1,1,phone_charger,0,0,1.9960397807300057,0.7499014936665545,1
4,charger_anker_prime_100w,0.5885,0.5776628406530432,1,1,phone_charger,0,0,0.37677752960483835,0.49655908527633763,0
5,charger_belkin_25w,0.5465,0.22215691968003545,1,0,phone_charger,0,0,0.09842079733629217,0.41094918663051744,0
6,charger_anker_nano_67w,0.7901,2.2840912613234785,1,1,phone_charger,0,0,1.2565400321884346,0.8158759932752725,0
7,charger_anker_nano_67w,0.704,1.555304123328813,1,1,phone_charger,0,0,1.944716069642797,0.7719515197377327,0
8,charger_anker_nano_67w,0.8256,2.584578408812568,1,1,phone_charger,0,0,2.539021730868058,0.895468865840069,0
9,charger_anker_nano_67w,0.6638,1.2150341703975056,1,1,phone_charger,0,0,0.8915451520427214,0.6485256277347627,1
10,charger_anker_prime_100w,0.6005,0.6792359609310453,1,1,phone_charger,0,0,0.5139160996528884,0.526309629548675,0
11,charger_anker_prime_100w,0.6375,0.9924197484548845,1,1,phone_charger,0,0,1.48363214432615,0.6601505241533308,1
12,charger_ugreen_100w,0.7259,1.7406750678361669,0,0,phone_charger,0,0,0.9959550373962752,0.7143182303814257,1
13,charger_apple_35w_duo,0.6161,0.8112810172924476,1,0,phone_charger,0,0,1.071829409862298,0.5970135822765422,1
14,charger_ugreen_100w,0.5996,0.6716179769101951,0,0,phone_charger,0,0,0.998691195105273,0.542268421272745,0
15,charger_anker_nano_67w,0.747,1.919274470991654,1,1,phone_charger,0,0,2.0687509890107894,0.8201781561440157,1
16,charger_apple_35w_duo,0.5015,-0.15874228136247276,1,0,phone_charger,0,0,0.4998337806671032,0.3807943989425525,0
17,charger_baseus_65w,0.534,0.11635158605711697,0,0,phone_charger,0,0,0.45880453101750907,0.380093443657447,1
18,charger_ugreen_100w,0.6643,1.219266383742423,0,0,phone_charger,0,0,0.5773271856629728,0.5847127038440756,1
