consumer_id,product_id,Q_selected,Q_selected_std,incumbent,focal_brand,category,q,r,expression_intensity,Y_prob,Y
0,charger_samsung_45w,0.7154,1.6517985875929155,1,0,phone_charger,0,0,2.1775804611278318,0.7391923682640719,1
1,charger_anker_nano_67w,0.6909,1.444420133691994,1,1,phone_charger,0,0,1.7864382837820152,0.6938927226893924,1
2,charger_anker_nano_67w,0.4911,-0.24677231893674095,1,1,phone_charger,0,0,0.20663083038791852,0.33594568355914195,0
3,charger_anker_prime_100w,0.6805,1.3563900961177258,1,1,phone_charger,0,0,1.9960397807300057,0.6896922685758473,1
4,charger_anker_prime_100w,0.5885,0.5776628406530432,1,1,phone_charger,0,0,0.37677752960483835,0.4824371021070103,0
5,charger_belkin_25w,0.5465,0.22215691968003545,1,0,phone_charger,0,0,0.09842079733629217,0.4073802357735917,0
6,charger_anker_nano_67w,0.7901,2.2840912613234785,1,1,phone_charger,0,0,1.2565400321884346,0.7858639103197401,0
7,charger_anker_nano_67w,0.704,1.555304123328813,1,1,phone_charger,0,0,1.944716069642797,0.7165995171958319,0
8,charger_anker_nano_67w,0.8256,2.584578408812568,1,1,phone_charger,0,0,2.539021730868058,0.8540853454916312,0
9,charger_anker_nano_67w,0.6638,1.2150341703975056,1,1,phone_charger,0,0,0.8915451520427214,0.6174722549886361,1
10,charger_anker_prime_100w,0.6005,0.6792359609310453,1,1,phone_charger,0,0,0.5139160996528884,0.5070616285701859,0
11,charger_anker_prime_100w,0.6375,0.9924197484548845,1,1,phone_charger,0,0,1.48363214432615,0.6085973964722463,1
12,charger_ugreen_100w,0.7259,1.7406750678361669,0,0,phone_charger,0,0,0.9959550373962752,0.6828838791444768,1
13,charger_apple_35w_duo,0.6161,0.8112810172924476,1,0,phone_charger,0,0,1.071829409862298,0.5578060153442119,1
14,charger_ugreen_100w,0.5996,0.6716179769101951,0,0,phone_charger,0,0,0.998691195105273,0.5049184668761995,0
15,charger_anker_nano_67w,0.747,1.919274470991654,1,1,phone_charger,0,0,2.0687509890107894,0.76981064700165,1
16,charger_apple_35w_duo,0.5015,-0.15874228136247276,1,0,phone_charger,0,0,0.4998337806671032,0.3632807565816322,0
17,charger_baseus_65w,0.534,0.11635158605711697,0,0,phone_charger,0,0,0.45880453101750907,0.36401675915614085,0
18,charger_ugreen_100w,0.6643,1.219266383742423,0,0,phone_charger,0,0,0.5773271856629728,0.5635423122386582,1
19,charger_anker_nano_67w,0.632,0.9458654016608007,1,1,phone_charger,0,0,1.5720681559588672,0.6050422306929799,1
20,charger_anker_nano_67w,0.6835,1.3817833761872262,1,1,phone_charger,0,0,1.7289794111253562,0.682014307244819,1
21,charger_anker_nano_67w,0.777,2.1732072716866595,1,1,phone_charger,0,0,2.4878916084757163,0.8128784845582067,0
22,charger_apple_35w_duo,0.6234,0.8730713321282321,1,0,phone_charger,0,0,1.178224654037248,0.5736588081838124,0
23,charger_belkin_25w,0.5904,0.5937452513637269,1,0,phone_charger,0,0,0.9404206944845794,0.5134232274671134,1
24,charger_anker_nano_67w,0.6092,0.7528764731325963,1,1,phone_charger,0,0,0.5900593107159648,0.5237384881548349,1
25,charger_anker_nano_67w,0.8299,2.620975443578852,1,1,phone_charger,0,0,2.3212624307521037,0.8518184614323193,1
26,charger_anker_nano_67w,0.6371,0.9890339777789515,1,1,phone_charger,0,0,0.8087297266693996,0.5754370933919242,0
27,charger_anker_nano_67w,0.6075,0.73848694775988,1,1,phone_charger,0,0,1.6321717601131773,0.5728222400273916,1
28,charger_anker_nano_67w,0.6281,0.9128541375704499,1,1,phone_charger,0,0,1.3450965033138522,0.5885603687579695,1
29,charger_anker_prime_100w,0.64,1.0135808151794687,1,1,phone_charger,0,0,1.2477765022360496,0.6008629118123274,1
30,charger_samsung_45w,0.6897,1.434262821664194,1,0,phone_charger,0,0,2.3240503802429076,0.7147963216140667,1
31,charger_anker_nano_67w,0.6114,0.7714982118502307,1,1,phone_charger,0,0,0.01996292976323011,0.4985103379695734,1
32,charger_anker_nano_67w,0.7755,2.160510631651909,1,1,phone_charger,0,0,2.0644662302574748,0.7982271567421121,1
33,charger_anker_prime_100w,0.5299,0.08164743662879966,1,1,phone_charger,0,0,0.37004370074062737,0.3967948269622445,0
34,charger_samsung_45w,0.6452,1.057595833966603,1,0,phone_charger,0,0,1.4830035799591383,0.6193800764182649,1
35,charger_anker_nano_67w,0.7064,1.5756187473844139,1,1,phone_charger,0,0,1.2791077385231178,0.6918440687453351,1
36,charger_anker_nano_67w,0.7451,1.9031920602809702,1,1,phone_charger,0,0,2.610746148719877,0.7865718234058283,1
37,charger_baseus_65w,0.5837,0.5370335925418421,0,0,phone_charger,0,0,0.5257847292949794,0.4402735780916206,0
38,charger_belkin_25w,0.8129,2.477080189851682,1,0,phone_charger,0,0,3.0402739738772415,0.8571736452075488,1
39,charger_samsung_45w,0.6889,1.427491280312327,1,0,phone_charger,0,0,0.8606246255471147,0.6505298015652231,1
40,charger_apple_35w_duo,0.566,0.38721324013178854,1,0,phone_charger,0,0,0.1841675861574787,0.43976466260840624,0
41,charger_anker_nano_67w,0.7775,2.177439485031576,1,1,phone_charger,0,0,1.8626012110256847,0.7935941620369474,0
42,charger_anker_nano_67w,0.5993,0.6690786489032453,1,1,phone_charger,0,0,1.44962967834939,0.5518828223450677,1
43,charger_anker_nano_67w,0.6675,1.24635254914989,1,1,phone_charger,0,0,2.0845437500814596,0.6768549132884292,1
44,charger_anker_prime_100w,0.532,0.09942273267744994,1,1,phone_charger,0,0,1.0547521842853447,0.43304122801052175,1
45,charger_samsung_45w,0.6087,0.74864425978768,1,0,phone_charger,0,0,0.9115390555251441,0.5390102534803792,1
