asin,rating,title,text,helpful_vote,verified_purchase,timestamp
B01M0GB8CC,4.0,Legit Apple Earphones,"Well, i would give these earphones a 5 star rating. but the only problem or the issue i see was the packaging they arrive in.<br />The earphones work perfectly fine in terms of sound quality and seems to me very authentic Apple earphones.<br />Having discussed the issue about packaging to the seller, they informed me that the earphones come in this e-commerce packaging and apparently claiming it to be bona fide Apple product.<br />As long as the product is working fine, I am good.<br />4 stars only because of the packaging but i believe thats the reason for the product being low cost.",39,True,1540311764099
B01M0GB8CC,2.0,DON'T BELIEVE THE GOOD REVIEWS!,"I bought these after a lot of debating. I read the reviews, which were very mixed. Several of the people also commented on feeling concerned about ordering from this seller, but decided to give it a try with a good outcome.  So I thought I would also take the chance.  BAD CHOICE  on my account!  The product LOOKS like a Apple product. The came in the usual Apple box, which was sealed, and was packaged exactly the same. They appear brand new, are clean with no viable damage. HOWEVER...., although I can hear just fine through these earbuds, the person on the other end complained of muffling, breaking up, or not hearing anything at all. All within a space if a minute, with no change in location or position.  THESE ARE NOT A AUTHENTIC APPLE PRODUCT.  They did not state that they were reburbished either. So even if they were, to sell them as a NEW item and in a sealed APPLE box was misleading!  DO NOT TRUST THIS SELLER!  I don't know where they are getting this product, but it is NOT worth ",20,True,1559871866279
B01M0GB8CC,1.0,REFURBISHED - NOT NEW,THESE ARE REFURBISHED - NOT NEW,19,True,1511029281281
B01M0GB8CC,1.0,"Left side stopped working after one month. Update: Tried three EarPods, all had same issue.","The left ear pod stopped working after just one month of use. I should have listen to the other reviewers. When they were working the sound was great from them. When walking on a treadmill or going for a light run they would bounce out of the ear and would need to be pushed back in all the time. I would not buy these if you are going to do any fast walking or more.<br /><br />Update:<br />So after three tries with the EarPods I finally just received a full refund from Amazon. On all three EarPods the left one stopped working right around after a months time. Two stopped working after the return window with Amazon however the Amazon Product Support Expert I chatted with was great. The first two times they sent me a new pair, and this last time they were still able to provide a refund.<br /><br />Do not buy this product.",14,True,1552476385390
B01M0GB8CC,3.0,Poorer quality than earlier Apple earbuds,"Longtime iPhone user and quite loyal but have noticed the quality of the standard earbuds has greatly diminished in the past few years. I'm not comfortable with the earpods so I can't compare quality. One pair of earbuds used to last me a more than a year but I'm on my third pair this year and could have purchased more except I don't want to buy a new pair each month. And I do buy genuine Apple earbuds. The mic button usually stops fully functioning within a month. The song forwarding double click stops working first, then one is only able to occasionally stop their music or end a call with a click. And that can certainly lead to embarrassment! I'm currently using an old pair from my iPhone 4 with my laptop and they still work beautifully. Tried them in an old iPod (remember those?) and they still functioned. Even the three quick clicks that would take you back a song still worked! My news ones? Not a chance. I wish Apple would take interest in all its products to ensure they are of a ",8,True,1608585167525
B01M0GB8CC,5.0,Great basic EarPods For an “old dog” nana,"I’m a bit of an old dog with earbuds and such, but with my kids advice I bought these for a couple of reasons...to listen to music while walking, (which makes an enormous difference by the way lol) to watch Netflix when stuck waiting, and to listen  to rain sounds when my husbands snoring drives me nuts. (They don’t block the sound entirely but with the right volume at least I can stay in the room.)  These basically opened up a whole new world for me and work great. I was warned to keep them away from the cat because he would ruin them immediately, and I do treat them with care. They are inexpensive but bring me great joy! Very comfortable and great sound.",7,True,1603000750874
B01M0GB8CC,5.0,Perfect!,"I bought these for my daughters iPhone SE. They work great, she’s had no issues with them. Good sound quality, she loves them. I would recommend.",3,True,1667706441800
B01M0GB8CC,1.0,Faulty Headphones,"Thought that ordering this with the ""Sold by/Fulfilled"" by Amazon would be worth the risk given the reviews but less than a week after owning these headphones, I'm already having issues with them. The volume/play+pause buttons will randomly stop working and I have to plug and replug them multiple times to regain a connection. The sound also drops out and starts playing out of my iPhone X fairly frequently. Never had these issues with the headphones that came w/ my phone originally.",3,True,1550775372006
B01M0GB8CC,4.0,Not Sure If They're Authentic,"I'm not sure if these are a genuine Apple product. They look just like the originals that came with my husband's iPhone but they dont have any Apple logo or standard Apple packaging. However, mu husband says they work great and sound just like the originals so he is happy with them. For the price, they're great. Usually these go for twice the price in the Apple store.",3,True,1543802777455
B01M0GB8CC,5.0,No complaints...,"Tried several non-Apple headphones before and most never last as long, nor sound as good to me.<br /><br />I don't mind it being corded, as opposed to wireless, plus it's much more cheaper than wireless, and there's no batteries to replace.  Plus, you can't replace the batteries on a wireless model and basically have to throw them away in the trash when it no longer holds a charge.<br /><br />This headphones are NOT noise cancelling headphones, but when listening to music, it does a good job of reducing outside noise.<br /><br />Definitely will buy again (as long as Apple keeps selling these).",3,True,1666462399127
