segment_id,product_id,impressions,purchases,avg_satisfaction,conversion_rate
budget_high,charger_anker_nano_67w,333,225,3.780868951235877,0.6756756756756757
budget_high,charger_anker_prime_100w,333,203,3.616683901247707,0.6096096096096096
budget_high,charger_apple_35w_duo,333,192,3.4548054906035834,0.5765765765765766
budget_high,charger_baseus_65w,333,153,2.8678556681210345,0.4594594594594595
budget_high,charger_belkin_25w,333,164,2.95020962462198,0.4924924924924925
budget_high,charger_samsung_45w,333,177,3.2203619908619685,0.5315315315315315
budget_high,charger_ugreen_100w,333,156,3.298269008777796,0.46846846846846846
budget_high,charger_voltix_65w,333,109,2.288734933170167,0.32732732732732733
budget_low,charger_anker_nano_67w,334,158,3.4512075600796033,0.47305389221556887
budget_low,charger_anker_prime_100w,334,71,3.026242476683958,0.2125748502994012
budget_low,charger_apple_35w_duo,334,59,2.243794006222596,0.17664670658682635
budget_low,charger_baseus_65w,334,144,3.3058724986985815,0.4311377245508982
budget_low,charger_belkin_25w,334,177,3.4271695370036537,0.5299401197604791
budget_low,charger_samsung_45w,334,152,3.3837709868068275,0.4550898203592814
budget_low,charger_ugreen_100w,334,67,2.827576962714143,0.20059880239520958
budget_low,charger_voltix_65w,334,138,2.7706308501453556,0.41317365269461076
budget_mid,charger_anker_nano_67w,333,248,4.00633754096876,0.7447447447447447
budget_mid,charger_anker_prime_100w,333,125,3.2064415957130263,0.37537537537537535
budget_mid,charger_apple_35w_duo,333,109,2.80120595680471,0.32732732732732733
budget_mid,charger_baseus_65w,333,176,3.142477260593613,0.5285285285285285
budget_mid,charger_belkin_25w,333,163,3.1719875749968502,0.4894894894894895
budget_mid,charger_samsung_45w,333,185,3.588253812330576,0.5555555555555556
budget_mid,charger_ugreen_100w,333,139,3.297804903809003,0.4174174174174174
budget_mid,charger_voltix_65w,333,132,2.5234229750258197,0.3963963963963964
