segment_id,product_id,impressions,purchases,avg_satisfaction,conversion_rate
budget_high,headphones_apple_airpods_max,333,147,3.400653779120018,0.44144144144144143
budget_high,headphones_bose_qc_ultra,333,182,4.0228166491554,0.5465465465465466
budget_high,headphones_edifier_stax,333,142,2.7319379463818554,0.4264264264264264
budget_high,headphones_hifiman_deva_se,333,88,2.3453985459065168,0.26426426426426425
budget_high,headphones_jbl_tune770nc,333,172,2.846898294388152,0.5165165165165165
budget_high,headphones_marshall_monitor3,333,197,3.262734715843334,0.5915915915915916
budget_high,headphones_sennheiser_momentum4,333,218,3.829751910281782,0.6546546546546547
budget_high,headphones_sony_ult_wear,333,205,3.446413905794118,0.6156156156156156
budget_high,headphones_sony_wh1000xm5,333,207,3.9948233219136746,0.6216216216216216
budget_high,headphones_soundcore_space_q45,333,124,2.6960209671420947,0.37237237237237236
budget_low,headphones_apple_airpods_max,334,74,2.8253879133922926,0.2215568862275449
budget_low,headphones_bose_qc_ultra,334,91,3.473852375496063,0.27245508982035926
budget_low,headphones_edifier_stax,334,158,3.1128689864475727,0.47305389221556887
budget_low,headphones_hifiman_deva_se,334,125,2.7409960604895685,0.37425149700598803
budget_low,headphones_jbl_tune770nc,334,183,3.354813991329113,0.5479041916167665
budget_low,headphones_marshall_monitor3,334,84,2.6748987621270945,0.25149700598802394
budget_low,headphones_sennheiser_momentum4,334,104,3.2839736605137158,0.31137724550898205
budget_low,headphones_sony_ult_wear,334,126,3.2714282729907014,0.3772455089820359
budget_low,headphones_sony_wh1000xm5,334,109,3.3601704964497667,0.3263473053892216
budget_low,headphones_soundcore_space_q45,334,158,3.127442498446975,0.47305389221556887
budget_mid,headphones_apple_airpods_max,333,88,2.7344748616529317,0.26426426426426425
budget_mid,headphones_bose_qc_ultra,333,118,3.4845187759602734,0.35435435435435436
budget_mid,headphones_edifier_stax,333,173,3.0402905786873275,0.5195195195195195
budget_mid,headphones_hifiman_deva_se,333,95,2.560901046260448,0.2852852852852853
budget_mid,headphones_jbl_tune770nc,333,180,3.03425550639508,0.5405405405405406
budget_mid,headphones_marshall_monitor3,333,163,3.3331017763169766,0.4894894894894895
budget_mid,headphones_sennheiser_momentum4,333,149,3.5772547272995014,0.44744744744744747
budget_mid,headphones_sony_ult_wear,333,219,3.6179212885034557,0.6576576576576577
budget_mid,headphones_sony_wh1000xm5,333,128,3.4838178361639596,0.3843843843843844
budget_mid,headphones_soundcore_space_q45,333,149,2.9100388060506046,0.44744744744744747
