consumer_id,product_id,segment_id,budget,price,quality_score,brand_familiarity,Q_std,afford,quality_norm,purchase_prob,purchased,satisfaction,return_prob,returned
0,headphones_sony_wh1000xm5,budget_mid,206.08,348.0,90,0.54,-0.5342070392741151,0.5921839080459771,0.8,0.3164870554570446,0,,0.2773887615423625,
0,headphones_sony_ult_wear,budget_mid,206.08,198.0,80,0.54,0.978686028842691,1.0,0.6,0.7749366615756313,1,3.896153715576279,0.035836034508070255,0.0
0,headphones_bose_qc_ultra,budget_mid,206.08,379.0,89,0.489,-0.8642489984015077,0.5437467018469657,0.78,0.11935666255025805,0,,0.6059507022896774,
0,headphones_apple_airpods_max,budget_mid,206.08,449.0,86,0.785,-0.9662327667936703,0.45897550111358576,0.72,0.09944377761490428,0,,0.31539956524450624,
0,headphones_sennheiser_momentum4,budget_mid,206.08,299.95,87,0.711,-0.08612087578729014,0.6870478413068846,0.74,0.47026447958094103,1,2.1587767066084678,0.5454855444491858,0.0
0,headphones_jbl_tune770nc,budget_mid,206.08,79.95,72,0.72,1.3231823803406266,1.0,0.44,0.8017111166857229,1,3.8657963620505136,0.0379939894379653,0.0
0,headphones_edifier_stax,budget_mid,206.08,129.99,78,0.39,0.8028242550010883,1.0,0.56,0.652720180657392,1,3.9181228432047286,0.03434846573919673,0.0
0,headphones_soundcore_space_q45,budget_mid,206.08,99.99,76,0.173,0.6775528544563841,1.0,0.52,0.5279628920004764,0,,0.23479649222884505,
0,headphones_hifiman_deva_se,budget_mid,206.08,109.0,81,0.287,-0.8754913035785962,1.0,0.62,0.1932446618550656,1,2.674562710819439,0.2996163524718009,0.0
0,headphones_marshall_monitor3,budget_mid,206.08,249.99,77,0.738,0.7498248163090978,0.8243529741189648,0.54,0.5185160321657073,0,,0.01795907019035384,
1,headphones_sony_wh1000xm5,budget_low,139.89,348.0,90,0.783,-1.8238600474458726,0.4019827586206896,0.8,0.10486487630728152,0,,0.8931492899790121,
1,headphones_sony_ult_wear,budget_low,139.89,198.0,80,0.783,0.07608952748213386,0.7065151515151514,0.6,0.6565248897824926,0,,0.3416309156438977,
1,headphones_bose_qc_ultra,budget_low,139.89,379.0,89,0.7,-2.0703877395434622,0.36910290237467014,0.78,0.030414918758322765,0,,0.9241418199787566,
1,headphones_apple_airpods_max,budget_low,139.89,449.0,86,0.644,-2.4365656795972117,0.3115590200445434,0.72,0.028691965897832246,0,,0.9241418199787566,
1,headphones_sennheiser_momentum4,budget_low,139.89,299.95,87,0.775,-1.7106339738766212,0.46637772962160357,0.74,0.077548180143918,0,,0.8937558396266766,
1,headphones_jbl_tune770nc,budget_low,139.89,79.95,72,0.84,0.7835517318403641,1.0,0.44,0.7255551234102697,1,3.5350087429124324,0.07109314933075196,0.0
1,headphones_edifier_stax,budget_low,139.89,129.99,78,0.319,0.19654279723665677,1.0,0.56,0.47174108018038624,1,2.698299141374011,0.28975005263543596,1.0
1,headphones_soundcore_space_q45,budget_low,139.89,99.99,76,0.819,0.8124605165814499,1.0,0.52,0.8495554721549551,1,4.239483656467614,0.01836149495623947,0.0
1,headphones_hifiman_deva_se,budget_low,139.89,109.0,81,0.383,-1.4327884316428552,1.0,0.62,0.10885269324440376,1,1.310942580241431,0.8673944429432022,1.0
1,headphones_marshall_monitor3,budget_low,139.89,249.99,77,0.648,-0.8281130174751509,0.5595823832953317,0.54,0.06875349398471338,1,2.4149911427761457,0.41824493336241236,1.0
2,headphones_sony_wh1000xm5,budget_high,600.0,348.0,90,0.713,0.9112321977801585,1.0,0.8,0.5999745117907003,1,3.8543060604417234,0.03884291658916827,0.0
2,headphones_sony_ult_wear,budget_high,600.0,198.0,80,0.713,0.09295298524776699,1.0,0.6,0.4285764122513172,1,2.9578050803107523,0.1953506944814947,0.0
2,headphones_bose_qc_ultra,budget_high,600.0,379.0,89,0.425,0.5811902386527658,1.0,0.78,0.682945797492587,0,,0.1269391652317259,
2,headphones_apple_airpods_max,budget_high,600.0,449.0,86,0.752,0.5811902386527658,1.0,0.72,0.3235276449966675,0,,0.09169231211706014,
2,headphones_sennheiser_momentum4,budget_high,600.0,299.95,87,0.641,0.604477870805307,1.0,0.74,0.7297084579848175,1,3.365994624253626,0.09691439832634703,1.0
2,headphones_jbl_tune770nc,budget_high,600.0,79.95,72,0.921,-0.14072635807600736,1.0,0.44,0.31907061472740916,0,,0.2687682233192428,
2,headphones_edifier_stax,budget_high,600.0,129.99,78,0.119,-0.7084627695189913,1.0,0.56,0.29112026411658376,0,,0.6412710782132935,
2,headphones_soundcore_space_q45,budget_high,600.0,99.99,76,0.159,-0.8522036714260555,1.0,0.52,0.31086866494799564,0,,0.691454191505257,
2,headphones_hifiman_deva_se,budget_high,600.0,109.0,81,0.442,-1.4263642572559472,1.0,0.62,0.09973583373449378,0,,0.8929094836261664,
2,headphones_marshall_monitor3,budget_high,600.0,249.99,77,0.743,-0.14072635807600736,1.0,0.54,0.5571489502919024,0,,0.11386792557253335,
3,headphones_sony_wh1000xm5,budget_high,366.93,348.0,90,0.754,-0.5044952327346662,1.0,0.8,0.31812721497631397,0,,0.27954697139862994,
3,headphones_sony_ult_wear,budget_high,366.93,198.0,80,0.754,0.32181419778136006,1.0,0.6,0.6772112587601623,0,,0.367526708008244,
3,headphones_bose_qc_ultra,budget_high,366.93,379.0,89,0.378,-1.0971253199269182,0.9681530343007916,0.78,0.1906099535990783,1,1.0,0.9241418199787566,1.0
3,headphones_apple_airpods_max,budget_high,366.93,449.0,86,0.553,-1.3500771864114163,0.8172160356347439,0.72,0.13029657968148403,0,,0.845695301466357,
3,headphones_sennheiser_momentum4,budget_high,366.93,299.95,87,0.677,-0.5944336741513765,1.0,0.74,0.3488570425262102,0,,0.6234394808004389,
3,headphones_jbl_tune770nc,budget_high,366.93,79.95,72,0.567,0.45270675091460805,1.0,0.44,0.5462624966442255,1,2.6277909516980826,0.3196062504163778,0.0
3,headphones_edifier_stax,budget_high,366.93,129.99,78,0.067,-0.3896631155686876,1.0,0.56,0.2118752703239811,1,2.9348105895978245,0.20268105752608304,0.0
3,headphones_soundcore_space_q45,budget_high,366.93,99.99,76,0.507,0.3338595247568128,1.0,0.52,0.4481222313259066,1,2.5251551669468864,0.3657924121514698,0.0
3,headphones_hifiman_deva_se,budget_high,366.93,109.0,81,0.339,-1.6110592708795488,1.0,0.62,0.08620470773223354,0,,0.9241418199787566,
3,headphones_marshall_monitor3,budget_high,366.93,249.99,77,0.842,0.2134062550022899,1.0,0.54,0.6504704474462476,0,,0.08970333893311919,
4,headphones_sony_wh1000xm5,budget_high,503.95,348.0,90,0.79,-0.28687632537816166,1.0,0.8,0.6211143041823183,1,3.0881378426397257,0.15758925958225514,0.0
