product_id,impressions,purchases,avg_satisfaction,returns,conversion_rate,return_rate
headphones_apple_airpods_max,1000,309,3.073166986883917,79,0.309,0.255663430420712
headphones_bose_qc_ultra,1000,391,3.7325995188740073,49,0.391,0.12531969309462915
headphones_edifier_stax,1000,473,2.971963548325259,128,0.473,0.27061310782241016
headphones_hifiman_deva_se,1000,308,2.5724194123237405,129,0.308,0.41883116883116883
headphones_jbl_tune770nc,1000,535,3.0836700153254286,117,0.535,0.21869158878504674
headphones_marshall_monitor3,1000,444,3.1773554607645944,97,0.444,0.21846846846846846
headphones_sennheiser_momentum4,1000,471,3.6293633365233133,74,0.471,0.15711252653927812
headphones_sony_ult_wear,1000,550,3.4746174095761444,72,0.55,0.13090909090909092
headphones_sony_wh1000xm5,1000,444,3.691702015266086,66,0.444,0.14864864864864866
headphones_soundcore_space_q45,1000,431,2.9281631015818603,114,0.431,0.26450116009280744
